Fluid,T,P,D,H,S,U,Q,C,Z,A,viscosity,conductivity,molar_mass,speed_of_sound,acentric
,[K],[Pa],[kg/m^3],[J/kg],[J/kg/K],[J/kg],[-],[m/s],[-],[m/s²],[Pa·s],[W/m/K],[kg/mol],[m/s],[-]
p-Xylene,300.0,101325.0,855.136169,-213315.952745,-601.389395,-213434.442646,-1.0,1722.669594,0.005043,1301.149316,0.000593,0.126149,0.106165,1301.149316,0.324
ParaDeuterium,300.0,101325.0,0.163539,2155147.024168,28617.281951,1535569.717407,-1.0,7248.808658,1.000578,931.077784,,,0.004028,931.077784,-0.13629
ParaHydrogen,300.0,101325.0,0.081841,4455774.299851,56792.175395,3217695.489604,-1.0,14845.493009,1.000592,1309.854312,9e-06,0.193108,0.002016,1309.854312,-0.219
Propylene,300.0,101325.0,1.733832,636156.667925,2917.091226,577716.735425,-1.0,1557.374296,0.985886,258.022927,9e-06,0.017317,0.04208,258.022927,0.146
Propyne,300.0,101325.0,1.654701,744786.774317,3178.94179,683552.137556,-1.0,1555.69729,0.98347,265.296731,,,0.04006,265.296731,0.204
R11,300.0,101325.0,5.782376,403890.902481,1689.572805,386367.8304,-1.0,607.53881,0.965024,138.559842,1e-05,0.008525,0.137368,138.559842,0.188751
R113,300.0,101325.0,1558.787867,224392.284595,1084.97213,224327.282164,-1.0,919.513057,0.004883,693.152648,,,0.187375,693.152648,0.252535
R114,300.0,101325.0,7.15771,355433.131049,1559.384286,341277.066587,-1.0,701.619139,0.970019,121.986025,,,0.170921,121.986025,0.2523
R115,300.0,101325.0,6.390819,332156.022356,1554.999354,316301.24742,-1.0,722.615545,0.981836,130.109098,,,0.154466,130.109098,0.248435
R116,300.0,101325.0,5.664526,304560.887083,1537.160515,286673.248886,-1.0,778.526685,0.989722,138.8138,1.4e-05,0.014932,0.138012,138.8138,0.2566
R12,300.0,101325.0,5.005468,372429.793298,1701.327153,352186.931755,-1.0,613.75853,0.981271,150.350071,1.2e-05,0.010039,0.120913,150.350071,0.179478
R123,300.0,101325.0,1459.156424,227030.446116,1094.207855,226961.005308,-1.0,1021.843307,0.004257,696.391132,0.000409,0.075905,0.152931,696.391132,0.281922
R1233zd(E),300.0,101325.0,5.516127,454966.862359,1894.024523,436597.995268,-1.0,822.221137,0.96099,139.502849,1.1e-05,,0.130494,139.502849,0.302452
R1234yf,300.0,101325.0,4.734844,392122.751826,1777.360213,370722.890087,-1.0,908.424431,0.978404,151.59196,1.2e-05,0.013995,0.114042,151.59196,0.276
R1234ze(E),300.0,101325.0,4.742399,410351.975293,1818.766418,388986.205883,-1.0,891.510446,0.976846,151.537719,1.2e-05,0.013932,0.114042,151.537719,0.313144
R1234ze(Z),300.0,101325.0,4.822628,441577.200041,1853.136267,420566.869395,-1.0,862.171669,0.960596,150.097761,,,0.114042,150.097761,0.326839
R124,300.0,101325.0,5.689546,381075.791258,1687.199915,363266.812821,-1.0,743.761078,0.974406,138.28565,1.3e-05,0.013283,0.136476,138.28565,0.288095
R1243zf,300.0,101325.0,3.989508,430386.848129,1919.321194,404988.976822,-1.0,953.99256,0.978013,166.190713,,,0.096051,166.190713,0.260368
R125,300.0,101325.0,4.949288,363363.028986,1716.774182,342890.386827,-1.0,799.237711,0.985092,149.132899,1.3e-05,0.014156,0.120021,149.132899,0.3052
R13,300.0,101325.0,4.281785,330106.438062,1689.093055,306442.239572,-1.0,647.604867,0.991014,164.008309,1.4e-05,0.012453,0.104459,164.008309,0.174586
R1336MZZE,300.0,101325.0,6.931178,378794.439541,1634.837581,364175.711532,-1.0,834.92315,0.961453,123.083629,,,0.164049,123.083629,0.413
R134a,300.0,101325.0,4.229539,426102.819869,1905.875973,402146.309729,-1.0,854.030147,0.97995,162.0333,1.2e-05,0.013538,0.102032,162.0333,0.32684
R13I1,300.0,101325.0,8.136788,309445.542629,1431.845117,296992.839644,-1.0,351.523069,0.97806,118.572784,,,0.19591,118.572784,0.176181
R14,300.0,101325.0,3.588034,434148.6347,1774.329272,405908.937716,-1.0,699.344701,0.99634,180.644612,1.7e-05,0.016165,0.088005,180.644612,0.1785
R141b,300.0,101325.0,1230.233578,230635.782467,1106.754996,230553.420059,-1.0,1156.347035,0.003862,813.873983,0.000399,0.090366,0.11695,813.873983,0.2195
R142b,300.0,101325.0,4.187831,441896.466622,1909.893707,417701.366142,-1.0,854.741611,0.974801,162.725294,,,0.100495,162.725294,0.2321
R143a,300.0,101325.0,3.471625,426352.659098,1991.124639,397166.035526,-1.0,949.674303,0.983375,179.899265,1.1e-05,0.015061,0.084041,179.899265,0.26149
